source_family,source_path,source_table,native_geography,status,rows,columns,key_columns_detected,output_csv,output_parquet,parquet_status,reason,caveat
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_PHN_SA4_2324.csv,ED_PHN_SA4_2324.csv,state,processed_native_table,4748,12,stateorterritory,data\processed\native\state\aihw_mental_health_regional_activity__ed_phn_sa4_2324__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_phn_sa4_2324__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_State_Sex_Age_Qtr_2324.csv,ED_State_Sex_Age_Qtr_2324.csv,state,processed_native_table,10800,10,stateorterritory,data\processed\native\state\aihw_mental_health_regional_activity__ed_state_sex_age_qtr_2324__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_state_sex_age_qtr_2324__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table of contents,state,processed_native_table,4,6,mental_health_related_emergency_department_presentations_in_public_hospitals_by_triage_category_states_and_territories_2014_15_to_2023_24,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_of_contents__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_of_contents__v20.parquet,written,value_match:{'state': 3},Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,General information,state,processed_native_table,14,6,crude_rates_for_total_population_state_and_territory_age_group_and_sex_are_based_on_the_australian_bureau_of_statistics_abs_census_state_and,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__general_information__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__general_information__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 2, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table ED.6,state,processed_native_table,166,17,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_6__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_6__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table ED.7,state,processed_native_table,117,17,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_7__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_7__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table ED.8,state,processed_native_table,140,17,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_8__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_8__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table ED.9,state,processed_native_table,1997,19,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_9__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_9__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Tables_Jurisdictions_2324.xlsx,Table ED.10,state,processed_native_table,188,18,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_10__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_tables_jurisdictions_2324__table_ed_10__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_Time_of_day_2324.csv,ED_Time_of_day_2324.csv,state,processed_native_table,9360,9,stateorterritory,data\processed\native\state\aihw_mental_health_regional_activity__ed_time_of_day_2324__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_time_of_day_2324__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\Data tables_ED states and territories 2023–24\ED_waittime_LOS_2324.csv,ED_waittime_LOS_2324.csv,state,processed_native_table,1170,10,stateorterritory,data\processed\native\state\aihw_mental_health_regional_activity__ed_waittime_los_2324__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__ed_waittime_los_2324__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental_health_workforce_2024\.extracted,.extracted,hold,held_marker_file,0,0,,,,,extraction marker; not data,Held during automated native processing; review manually if needed.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental_health_workforce_2024\Metadata_description_workforce_2024.xlsx,Metadata,unknown,held_metadata_sheet,0,0,,,,,metadata/contents/readme sheet,
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental_health_workforce_2024\README_WORKFORCE_2024.txt,README_WORKFORCE_2024.txt,hold,held_readme_metadata,0,0,,,,,README/metadata; not source table,Held during automated native processing; review manually if needed.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\extracted\Mental_health_workforce_2024\Workforce_2024.csv,Workforce_2024.csv,state,processed_native_table,7411,18,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__workforce_2024__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__workforce_2024__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\source_pages\aihw_regional_activity_data_page.html,aihw_regional_activity_data_page.html,hold,held_source_page_snapshot,0,0,,,,,HTML/download endpoint snapshot; provenance only unless separately parsed,Held during automated native processing; review manually if needed.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory PHN_SA4 2023-24.csv,Admitted patient care state and territory PHN_SA4 2023-24.csv,state,processed_native_table,2856,11,jurisdiction,data\processed\native\state\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_phn_sa4_2023_24__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_phn_sa4_2023_24__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,APC_COMMON_PROCEDURES,unknown,processed_unknown_geography_review,2,8,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_readme_csv_metadata_and_user_guide_2023_24__apc_common_procedures__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_readme_csv_metadata_and_user_guide_2023_24__apc_common_procedures__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,APC_PHN_SA4,phn,processed_native_table,4,8,the_phn_or_sa4_is_the_area_of_the_patient_s_usual_residence_which_may_not_be_the_same_as_the_phn_or_sa4_of_the_public_hospital_that_they_hav,data\processed\native\phn\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_readme_csv_metadata_and_user_guide_2023_24__apc_phn_sa4__v20.csv,data\processed\native\phn\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_readme_csv_metadata_and_user_guide_2023_24__apc_phn_sa4__v20.parquet,written,value_match:{'phn': 5},Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table of contents,unknown,processed_unknown_geography_review,6,6,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_of_contents__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_of_contents__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,General information,unknown,processed_unknown_geography_review,5,5,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__general_information__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__general_information__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.1,unknown,processed_unknown_geography_review,80,18,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_1__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_1__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.2,state,processed_native_table,1363,19,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_2__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_2__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.3,sa3,processed_native_table,863,20,11;5;7;8;861;874;901;n_p;n_p_1;n_p_2,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_3__v20.csv,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_3__v20.parquet,written,"value_match:{'sa3': 195, 'sa4': 232, 'lga': 195, 'state': 283}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.4,sa3,processed_native_table,370,20,11740;15511,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_4__v20.csv,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_4__v20.parquet,written,"value_match:{'sa3': 69, 'lga': 69, 'state': 50}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.5,unknown,processed_unknown_geography_review,319,19,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_5__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_5__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.6,sa4,processed_native_table,725,20,2014_15;2015_16;2016_17;2017_18;2018_19;2019_20;2020_21;2021_22;2022_23;2023_24,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_6__v20.csv,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_6__v20.parquet,written,"value_match:{'sa4': 482, 'state': 293}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.7,sa4,processed_native_table,76,18,2014_15;2015_16;2016_17;2017_18;2018_19;2019_20;2020_21;2021_22;2022_23;2023_24,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_7__v20.csv,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_7__v20.parquet,written,"value_match:{'sa4': 132, 'state': 228}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory tables 2023-24.xlsx,Table AC.8,sa4,processed_native_table,75,18,2014_15;2015_16;2016_17;2017_18;2018_19;2019_20;2020_21;2021_22;2022_23;2023_24,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_8__v20.csv,data\processed\native\sa4\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_8__v20.parquet,written,"value_match:{'sa4': 120, 'state': 282}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\admitted_patient_care_state_and_territory_2023_24_data_files\Admitted patient care state and territory Common Procedures 2023-24.csv,Admitted patient care state and territory Common Procedures 2023-24.csv,sa3,processed_native_table,6240,13,value,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_common_procedures_2023_24__v20.csv,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_common_procedures_2023_24__v20.parquet,written,"value_match:{'sa3': 22, 'sa4': 67, 'lga': 22, 'state': 28}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\CMHC_MRF_DemogFocus_2324.csv,CMHC_MRF_DemogFocus_2324.csv,sa4,processed_native_table,47075,18,indiginousstatus;measurevalue,data\processed\native\sa4\aihw_mental_health_regional_activity__cmhc_mrf_demogfocus_2324__v20.csv,data\processed\native\sa4\aihw_mental_health_regional_activity__cmhc_mrf_demogfocus_2324__v20.parquet,written,"value_match:{'state': 36, 'sa4': 67}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\CMHC_MRF_GeospatialFocus_2324.csv,CMHC_MRF_GeospatialFocus_2324.csv,sa3,processed_native_table,31173,17,geospatialdivision;geospatialdivisioncode;measurevalue,data\processed\native\sa3\aihw_mental_health_regional_activity__cmhc_mrf_geospatialfocus_2324__v20.csv,data\processed\native\sa3\aihw_mental_health_regional_activity__cmhc_mrf_geospatialfocus_2324__v20.parquet,written,"value_match:{'state': 20, 'sa3': 47, 'sa4': 34, 'lga': 47}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\CMHC_MRF_SessionFocus_2324.csv,CMHC_MRF_SessionFocus_2324.csv,sa4,processed_native_table,50824,18,measurevalue,data\processed\native\sa4\aihw_mental_health_regional_activity__cmhc_mrf_sessionfocus_2324__v20.csv,data\processed\native\sa4\aihw_mental_health_regional_activity__cmhc_mrf_sessionfocus_2324__v20.parquet,written,"value_match:{'sa4': 58, 'state': 37}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,Table of contents,state,processed_native_table,4,6,mental_health_online_report_state_and_territory_community_mental_health_services,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__table_of_contents__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__table_of_contents__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,General information,state,processed_native_table,24,6,crude_rates_for_specific_age_groups_sex_and_jurisdictions_are_crude_rates_based_on_the_2021_census_estimated_resident_populations_as_at_31_d,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__general_information__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__general_information__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,Specific information,state,processed_native_table,14,7,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__specific_information__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__specific_information__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,CMHC.1 Demographics,state,processed_native_table,1733,18,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_1_demographics__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_1_demographics__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,CMHC.2 Principal Diag,state,processed_native_table,918,18,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_2_principal_diag__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_2_principal_diag__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,CMHC.3 Session,state,processed_native_table,243,18,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_3_session__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_3_session__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Community mental health care Tables 2023-24.xlsx,CMHC.4 Organisations,state,processed_native_table,141,6,state_or_territory,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_4_organisations__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__community_mental_health_care_tables_2023_24__cmhc_4_organisations__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 1, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Metadata_description_CMHC_MRF_2324.xlsx,Metadata - demographic focus,unknown,processed_unknown_geography_review,5,9,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_demographic_focus__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_demographic_focus__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Metadata_description_CMHC_MRF_2324.xlsx,Metadata - session focus,unknown,processed_unknown_geography_review,5,9,,data\processed\native\unknown_review\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_session_focus__v20.csv,data\processed\native\unknown_review\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_session_focus__v20.parquet,written,no_value_match,Review key columns and suppression before modelling.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\community_mental_health_care_state_and_territory_tables_2023_24\Metadata_description_CMHC_MRF_2324.xlsx,Metadata - geospatial,phn,processed_native_table,9,9,gcssa_code_is_the_gcssa_name_for_example_greater_adelaide_phn_code_structure_6_characters_with_phn_prefix_and_number_suffix_between_101_and,data\processed\native\phn\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_geospatial__v20.csv,data\processed\native\phn\aihw_mental_health_regional_activity__metadata_description_cmhc_mrf_2324__metadata_geospatial__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 1, 'state': 0, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\raw\aihw\regional_activity_data_downloads\zips\Community-mental-health-care-state-and-territory-tables-2023-24.zip,README_CMHC_MRF_2324.txt,unknown,held_zip_non_table_member,0,0,,,,,extension .txt not processed,
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\medicare_mental_health_service_2024_25\Medicare mental health service 2024-25.xlsx,Table of contents,state,processed_native_table,5,6,patients_receiving_medicare_subsidised_mental_health_specific_services_by_provider_type_item_group_of_service_states_and_territories_2024_25,data\processed\native\state\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_of_contents__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_of_contents__v20.parquet,written,value_match:{'state': 3},Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\medicare_mental_health_service_2024_25\Medicare mental health service 2024-25.xlsx,General information,state,processed_native_table,18,6,in_table_mbs_6_the_number_of_providers_patients_and_services_by_state_and_territory_jurisdictions_are_based_on_the_postcode_of_the_mailing_a,data\processed\native\state\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__general_information__v20.csv,data\processed\native\state\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__general_information__v20.parquet,written,"column_match:{'sa2': 0, 'sa3': 0, 'sa4': 0, 'lga': 0, 'phn': 0, 'state': 2, 'ndis_service_area': 0}",Native geography staged; validate key uniqueness and definitions before scoped master build.
aihw_mental_health_regional_activity,data\interim\native_processing_extracts\medicare_mental_health_service_2024_25\Medicare mental health service 2024-25.xlsx,Table MBS.1,sa3,processed_native_table,216,17,10;19;19_1;21;22;23;23_1;24;28,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_mbs_1__v20.csv,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_mbs_1__v20.parquet,written,"value_match:{'sa3': 240, 'sa4': 358, 'lga': 240, 'state': 11}",Native geography staged; validate key uniqueness and definitions before scoped master build.
